COUNTRY Rwanda
Intara Iburasirazuba
Distrito de Rugendabari
Distrito de Shyogwe
Provincia de Nyamagabe 
Distrito de Buruhukiro
Distrito de Cyanika
Distrito de Gatare
Distrito de Kaduha
Distrito de Kamegeli
Distrito de Kibirizi
Distrito de Kibumbwe
Distrito de Kitabi
Distrito de Mbazi
Distrito de Mugano
Distrito de Musange
Distrito de Musebeya
Distrito de Mushubi
Distrito de Nkomane
Distrito de Gasaka
Distrito de Tare
Distrito de Uwinkingi
Provincia de Nyanza 
Distrito de Busasamana
Distrito de Busoro
Distrito de Cyabakamyi
Distrito de Kibirizi
Distrito de Kigoma
Distrito de Mukingo
Distrito de Rwabicuma
Distrito de Muyira
Distrito de Ntyazo
Distrito de Nyagisozi
Provincia de Nyaruguru 
Distrito de Cyahinda
Distrito de Busanze
Distrito de Kibeho
Distrito de Mata
Distrito de Munini
Distrito de Kivu
Distrito de Ngera
Distrito de Ngoma
Distrito de Nyabimata
Distrito de Nyagisozi
Distrito de Ruheru
Distrito de Muganza
Distrito de Ruramba
Distrito de Rusenge
Provincia de Ruhango 
Distrito de Bweramana
Distrito de Byimana
Distrito de Kabagari
Distrito de Kinazi
Distrito de Kinihira
Distrito de Mbuye
Distrito de Mwendo
Distrito de Ntongwe
Distrito de Ruhango
Intara Iburengerazuba 
Provincia de Karongi 
Distrito de Bwishyura
Distrito de Gishari
Distrito de Gishyita
Distrito de Gisovu
Distrito de Gitesi
Distrito de Kareba
Distrito de Murambi
Distrito de Mubuga
Distrito de Mutuntu
Distrito de Rubengera
Distrito de Rugabano
Distrito de Ruganda
Distrito de Rwankuba
Distrito de Twumba
Provincia de Ngororero 
Distrito de Bwira
Distrito de Gatumba
Distrito de Hindiro
Distrito de Kabaya
Distrito de Kageyo
Distrito de Kavumu
Distrito de Matyazo
Distrito de Muhanda
Distrito de Muhororo
Distrito de Ndaro
Distrito de Ngororero
Distrito de Nyange
Distrito de Sovu
Provincia de Nyabihu 
Distrito de Bigogwe
Distrito de Jenda
Distrito de Jomba
Distrito de Kabatwa
Distrito de Karago
Distrito de Kintobo
Distrito de Mukamira
Distrito de Muringa
Distrito de Rambura
Distrito de Rugera
Distrito de Rurembo
Distrito de Shyira
Provincia de Nyamasheke 
Distrito de Bushekeri
Distrito de Bushenge
Distrito de Cyato
Distrito de Gihombo
Distrito de Kagano
Distrito de Kanjongo
Distrito de Karambi
Distrito de Karengera
Distrito de Kirimbi
Distrito de Macuba
Distrito de Mahembe
Distrito de Nyabitekeri
Distrito de Rangiro
Distrito de Ruharambuga
Distrito de Shangi
Provincia de Rubavu 
Distrito de Bugeshi
Distrito de Busasamana
Distrito de Cyanzarwe
Distrito de Gisenyi
Distrito de Kanama
Distrito de Kanzenze
Distrito de Mudende
Distrito de Nyakiliba
Distrito de Nyamyumba
Distrito de Nyundo
Distrito de Rubavu
Distrito de Rugerero
Provincia de Rusizi 
Distrito de Bugarama
Distrito de Butare
Distrito de Bweyeye
Distrito de Gikundamvura
Distrito de Gashonga
Distrito de Giheke
Distrito de Gihundwe
Distrito de Gitambi
Distrito de Kamembe
Distrito de Muganza
Distrito de Mururu
Distrito de Nkanka
Distrito de Nkombo
Distrito de Nkungu
Distrito de Nyakabuye
Distrito de Nyakarenzo
Distrito de Nzahaha
Distrito de Rwimbogo
Provincia de Rutsiro 
Distrito de Boneza
Distrito de Gihango
Distrito de Kigeyo
Distrito de Kivumu
Distrito de Manihira
Distrito de Mukura
Distrito de Murunda
Distrito de Musasa
Distrito de Mushonyi
Distrito de Mushubati
Distrito de Nyabirasi
Distrito de Ruhango
Distrito de Rusebeya
